32288	2943	4
12184	285	5
291	9425	11
20363	7423	1
121	3638	33
18484	2627	1
1924	225	2
172	3571	5
21081	8017	14
10418	4175	5
109	591	1
125	1869	4
10057	7241	12
899	9573	12
825	9741	0
1722	7975	7
12	9080	2
264	7362	0
147	598	12
7762	817	5
103	4147	12
1758	4540	10
16752	2685	11
3070	4115	10
15789	3907	0
1029	1794	1
106	2293	11
1158	4175	8
2048	6634	3
1015	634	3
12	1692	5
2442	5925	13
124	8075	3
5179	4684	4
184	6623	5
278	3625	9
133	9654	0
30028	7448	8
104	9216	40
110	1826	5
127	9983	9
7295	2700	22
18245	3373	9
125	6989	1
12	8639	2
6971	9334	10
1228	7149	4
660	417	15
1603	8604	16
348	2655	13
256	1367	4
2798	3445	14
7	2470	8
3684	9414	4
19117	5127	9
136	6790	22
115	7155	2
1604	5279	9
11820	6096	17
112	5247	16
6859	2079	20
33225	1310	5
14785	4344	2
22224	8780	6
5061	3829	4
1725	4295	15
22028	3764	12
174	1812	8
2484	531	4
1626	2325	5
167	83	15
1886	2780	9
407	8131	9
26373	7104	6
101	1406	9
14621	8266	3
3864	1462	3
1356	4715	26
101	6874	6
102	1462	5
3242	6811	9
132	8602	14
181	9056	7
117	6303	4
17724	2171	10
24262	9403	17
8993	5054	21
664	714	6
2596	2419	2
208	3590	3
22853	3427	7
242	2762	7
205	2055	1
134	8817	10
166	518	11
185	6430	1
148	2077	11
2846	2339	24
24026	7107	18
2	3525	8
365	691	24
490	5465	6
1999	6640	0
637	6810	17
22633	6478	6
102	2841	0
119	7931	35
4036	723	6
9	9123	19
174	6896	5
8324	9316	17
318	2914	6
9	8321	15
104	83	16
831	8515	15
1086	578	9
293	242	16
102	2526	0
18210	38	5
103	7345	5
22392	6165	2
110	6991	14
28465	2283	1
135	5644	3
786	9280	1
168	6534	33
818	6484	15
5844	4110	6
1966	1201	12
291	6673	7
112	382	9
102	445	2
160	3969	8
1336	5057	1
172	4699	11
4557	174	12
12	5183	4
115	2265	5
1974	3424	5
139	5128	1
12962	4975	19
1931	1395	5
401	4000	7
102	537	8
266	3611	6
142	2212	14
932	3184	24
140	2731	2
538	4327	25
1056	6005	1
1119	3083	14
3842	3327	2
2	1668	22
6516	7835	2
1185	9904	9
218	1683	3
143	3607	7
101	9055	11
32681	9476	12
2737	4162	17
2054	5749	5
2113	4278	7
2014	6952	9
3813	8802	4
2949	3247	3
8	4806	3
10704	7966	9
1847	6561	7
6376	2454	7
10174	4331	2
432	5345	2
222	7325	2
